game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746580,15,657041,ball,"Lane Thomas grounds out, third baseman Alex Bregman to first baseman Victor Caratini.",,field_out
746580,10,647304,called_strike,"Josh Naylor grounds out, second baseman Jose Altuve to first baseman Victor Caratini.",,field_out
746580,9,608070,ball,José Ramírez walks.,,walk
746580,8,700932,called_strike,"Kyle Manzardo grounds into a double play, second baseman Jose Altuve to shortstop Grae Kessinger to first baseman Victor Caratini.   Steven Kwan out at 2nd.    Kyle Manzardo out at 1st.",,grounded_into_double_play
746580,7,680757,ball,Steven Kwan walks.,,walk
746583,58,647304,called_strike,Josh Naylor lines out sharply to center fielder TJ Friedl.,,field_out
746583,57,608070,blocked_ball,José Ramírez homers (38) on a fly ball to right field.    Steven Kwan scores.    Angel Martínez scores.,,home_run
746583,56,700932,ball,Kyle Manzardo singles on a line drive to left fielder Will Benson.   Steven Kwan to 2nd.,,single
746583,55,680757,hit_into_play,Steven Kwan singles on a sharp line drive to right fielder Jake Fraley.,single,single
746583,54,677587,foul,Brayan Rocchio flies out to left fielder Will Benson.,,field_out
746583,53,666310,called_strike,Bo Naylor strikes out swinging.,,strikeout
746583,47,686823,called_strike,"Will Brennan grounds out, first baseman Ty France to pitcher Buck Farmer.",,field_out
746583,46,665926,ball,"Andrés Giménez grounds out, second baseman Santiago Espinal to first baseman Ty France.",,field_out
746583,45,657041,called_strike,Lane Thomas strikes out swinging.,,strikeout
746583,40,647304,foul,Josh Naylor strikes out swinging.,,strikeout
746583,39,608070,ball,José Ramírez doubles (38) on a line drive to right fielder Jake Fraley.,,double
746583,38,700932,ball,Kyle Manzardo flies out to left fielder Blake Dunn.,,field_out
746583,37,680757,called_strike,Steven Kwan called out on strikes.,,strikeout
746583,33,677587,ball,"Brayan Rocchio grounds into a double play, first baseman Ty France to shortstop Elly De La Cruz to first baseman Ty France.   Bo Naylor out at 2nd.    Brayan Rocchio out at 1st.",,grounded_into_double_play
746583,32,666310,ball,Bo Naylor walks.,,walk
746583,31,678877,ball,Jhonkensy Noel strikes out swinging.,,strikeout
746583,27,665926,ball,Andrés Giménez grounds out to first baseman Ty France.,,field_out
746583,26,657041,called_strike,"Lane Thomas grounds into a force out, shortstop Elly De La Cruz to second baseman Santiago Espinal.   Josh Naylor out at 2nd.    Lane Thomas to 1st.",,force_out
746583,25,647304,hit_into_play,Josh Naylor singles on a ground ball to left fielder Blake Dunn.   José Ramírez scores.,single,single
746583,24,608070,foul,José Ramírez triples (2) on a fly ball to center fielder TJ Friedl.,,triple
746583,23,700932,called_strike,Kyle Manzardo pops out to second baseman Santiago Espinal.,,field_out
746583,19,680757,called_strike,"Steven Kwan grounds out, second baseman Santiago Espinal to first baseman Ty France.",,field_out
746583,18,677587,foul_bunt,Brayan Rocchio strikes out swinging.,,strikeout
746583,17,666310,called_strike,Bo Naylor singles on a sharp line drive to right fielder Jake Fraley.,,single
746583,13,678877,ball,"Jhonkensy Noel grounds out, third baseman Noelvi Marte to first baseman Ty France.",,field_out
746583,12,665926,ball,Andrés Giménez lines out to left fielder Blake Dunn.,,field_out
746583,11,657041,ball,Lane Thomas flies out to center fielder TJ Friedl.,,field_out
746583,7,647304,called_strike,Josh Naylor strikes out swinging.,,strikeout
746583,6,608070,ball,"José Ramírez grounds out, second baseman Santiago Espinal to first baseman Ty France.",,field_out
746583,5,700932,ball,"Kyle Manzardo grounds out, second baseman Santiago Espinal to first baseman Ty France.",,field_out
746583,4,680757,called_strike,Steven Kwan homers (14) on a fly ball to right field.,,home_run
746581,65,677587,ball,Brayan Rocchio called out on strikes.,,strikeout
746581,64,666310,swinging_strike,Bo Naylor strikes out swinging.,,strikeout
746581,59,665926,ball,Andrés Giménez strikes out swinging.,,strikeout
746581,58,657041,foul,"Lane Thomas grounds out, shortstop Elly De La Cruz to first baseman Ty France.   José Ramírez scores.",,field_out
746581,57,647304,called_strike,Josh Naylor out on a sacrifice fly to center fielder TJ Friedl.   Kyle Manzardo scores.    José Ramírez to 3rd.,,sac_fly
746581,56,608070,swinging_strike,José Ramírez doubles (37) on a line drive to right fielder Jake Fraley.   Kyle Manzardo to 3rd.,,double
746581,55,700932,ball,Kyle Manzardo walks.,,walk
746581,51,682657,called_strike,Angel Martínez called out on strikes.,,strikeout
746581,50,677587,ball,Brayan Rocchio doubles (18) on a ground ball to left fielder Spencer Steer.   Bo Naylor to 3rd.,,double
746581,49,666310,ball,Bo Naylor singles on a line drive to right fielder Jake Fraley.,,single
746581,48,678877,foul,"Jhonkensy Noel grounds out, second baseman Jonathan India to first baseman Ty France.",,field_out
746581,47,665926,ball,"Andrés Giménez grounds out, first baseman Ty France to pitcher Justin Wilson.",,field_out
746581,43,657041,called_strike,Lane Thomas flies out to center fielder TJ Friedl.,,field_out
746581,42,647304,hit_into_play,Josh Naylor doubles (27) on a sharp line drive to right fielder Jake Fraley.   José Ramírez scores.,double,double
746581,41,608070,ball,José Ramírez singles on a sharp line drive to right fielder Jake Fraley.,,single
746581,40,700932,called_strike,Kyle Manzardo lines out to first baseman Ty France.,,field_out
746581,39,682657,called_strike,"Angel Martínez strikes out swinging, catcher Tyler Stephenson to first baseman Ty France.",,strikeout
746581,34,677587,called_strike,Brayan Rocchio called out on strikes.,,strikeout
746581,33,666310,ball,Bo Naylor grounds out to first baseman Ty France.,,field_out
746581,32,686823,hit_into_play,Will Brennan singles on a line drive to right fielder Jake Fraley.,single,single
746581,26,665926,blocked_ball,"Andrés Giménez grounds out, second baseman Jonathan India to first baseman Ty France.",,field_out
746581,25,657041,hit_into_play,Lane Thomas pops out to first baseman Ty France in foul territory.,field_out,field_out
746581,24,647304,ball,Josh Naylor walks.,,walk
746581,23,608070,called_strike,"José Ramírez grounds out, first baseman Ty France to pitcher Carson Spiers.",,field_out
746581,17,700932,ball,Kyle Manzardo flies out to left fielder Spencer Steer.,,field_out
746581,16,682657,hit_into_play,Angel Martínez flies out to center fielder TJ Friedl.,field_out,field_out
